name,value,group,time
How the Grinch Stole Christmas,151520640,Universal Pictures,2000-12-01
Unbreakable,56606000,Walt Disney Studios Motion Pictures,2000-12-01
102 Dalmatians,30064317,Walt Disney Studios Motion Pictures,2000-12-01
Charlie's Angels,111939477,Sony Pictures Releasing,2000-12-01
Rugrats in Paris,50287657,Paramount Pictures,2000-12-01
Meet the Parents,150557230,Universal Pictures,2000-12-01
The 6th Day,27726315,Sony Pictures Releasing,2000-12-01
The Legend of Bagger Vance,29034306,DreamWorks Distribution,2000-12-01
What Lies Beneath,154912612,DreamWorks Distribution,2000-12-01
Bring It On,67811635,Universal Pictures,2000-12-01
The Contender,17546677,DreamWorks Distribution,2000-12-01
Nutty Professor II: The Klumps,123141875,Universal Pictures,2000-12-01
How the Grinch Stole Christmas,163680390,Universal Pictures,2000-12-02
Unbreakable,63004000,Walt Disney Studios Motion Pictures,2000-12-02
102 Dalmatians,33922317,Walt Disney Studios Motion Pictures,2000-12-02
Rugrats in Paris,53437657,Paramount Pictures,2000-12-02
Charlie's Angels,114186400,Sony Pictures Releasing,2000-12-02
Meet the Parents,152341320,Universal Pictures,2000-12-02
The 6th Day,29445312,Sony Pictures Releasing,2000-12-02
The Legend of Bagger Vance,29504899,DreamWorks Distribution,2000-12-02
What Lies Beneath,154980162,DreamWorks Distribution,2000-12-02
Bring It On,67870620,Universal Pictures,2000-12-02
The Contender,17583205,DreamWorks Distribution,2000-12-02
Nutty Professor II: The Klumps,123167225,Universal Pictures,2000-12-02
How the Grinch Stole Christmas,171996090,Universal Pictures,2000-12-03
Unbreakable,66346208,Walt Disney Studios Motion Pictures,2000-12-03
102 Dalmatians,36603358,Walt Disney Studios Motion Pictures,2000-12-03
Rugrats in Paris,55574878,Paramount Pictures,2000-12-03
Charlie's Angels,115422099,Sony Pictures Releasing,2000-12-03
The 6th Day,30563207,Sony Pictures Releasing,2000-12-03
Meet the Parents,153198610,Universal Pictures,2000-12-03
The Legend of Bagger Vance,29726567,DreamWorks Distribution,2000-12-03
What Lies Beneath,155018556,DreamWorks Distribution,2000-12-03
Bring It On,67905760,Universal Pictures,2000-12-03
Nutty Professor II: The Klumps,123184775,Universal Pictures,2000-12-03
The Contender,17599324,DreamWorks Distribution,2000-12-03
How the Grinch Stole Christmas,173188530,Universal Pictures,2000-12-04
Unbreakable,67210297,Walt Disney Studios Motion Pictures,2000-12-04
102 Dalmatians,36956080,Walt Disney Studios Motion Pictures,2000-12-04
Charlie's Angels,115694685,Sony Pictures Releasing,2000-12-04
The 6th Day,30811444,Sony Pictures Releasing,2000-12-04
Rugrats in Paris,55807333,Paramount Pictures,2000-12-04
Meet the Parents,153396635,Universal Pictures,2000-12-04
The Legend of Bagger Vance,29796302,DreamWorks Distribution,2000-12-04
Bring It On,67917055,Universal Pictures,2000-12-04
What Lies Beneath,155026676,DreamWorks Distribution,2000-12-04
The Contender,17604184,DreamWorks Distribution,2000-12-04
Nutty Professor II: The Klumps,123189325,Universal Pictures,2000-12-04
How the Grinch Stole Christmas,174553560,Universal Pictures,2000-12-05
Unbreakable,68201479,Walt Disney Studios Motion Pictures,2000-12-05
102 Dalmatians,37325797,Walt Disney Studios Motion Pictures,2000-12-05
Charlie's Angels,116035587,Sony Pictures Releasing,2000-12-05
The 6th Day,31119110,Sony Pictures Releasing,2000-12-05
Meet the Parents,153629440,Universal Pictures,2000-12-05
Rugrats in Paris,56038809,Paramount Pictures,2000-12-05
The Legend of Bagger Vance,29879792,DreamWorks Distribution,2000-12-05
Bring It On,67929605,Universal Pictures,2000-12-05
What Lies Beneath,155039108,DreamWorks Distribution,2000-12-05
